created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Thu Dec 07 13:31:12 +0000 2023;1732754635637813401;"Ganjar Pranowo, calon presiden 2024, menunjukkan komitmennya yang kuat terhadap pembangunan IKN, menggambarkan tekadnya untuk mempercepat kemajuan kota masa depan tersebut. @nadinalovaa  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/G6gzsPTZD6";0;0;0;0;in;1684451784226668544;1732754635637813401;FauzanNur61;https://twitter.com/FauzanNur61/status/1732754635637813401
Thu Dec 07 13:31:11 +0000 2023;1732754629614788854;"Dukungan untuk Ganjar Pranowo yang ingin mewujudkan visi Bung Karno lewat pembangunan IKN. @nerdydum  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/p5TVoYEjXY";0;0;0;0;in;1696878498336350208;1732754629614788854;kharisma_in;https://twitter.com/kharisma_in/status/1732754629614788854
Thu Dec 07 13:31:06 +0000 2023;1732754609050132905;"Ganjar Pranowo ingin IKN menjadi tempat di mana talenta lokal dapat berkembang dan berkontribusi pada pertumbuhan ekonomi nasional. @miaaaaaa2608  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/FiQp3iYrbN";0;0;0;0;in;1688096693705940992;1732754609050132905;natanrenal25132;https://twitter.com/natanrenal25132/status/1732754609050132905
Thu Dec 07 13:31:05 +0000 2023;1732754604272824749;"@ganjarpranowo Gotong royong dan toleransi adalah Indonesia Pak ganjar pemersatu umat";0;0;0;0;in;1719606435791953920;1732589528039456768;LinTang67179340;https://twitter.com/LinTang67179340/status/1732754604272824749
Thu Dec 07 13:31:02 +0000 2023;1732754590712688666;"Kota-kota pintar lain di Indonesia akan berkembang pesat di bawah kepemimpinan Ganjar Pranowo, mengikuti jejak keberhasilan IKN. @queenl  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/65uYoPd3oF";0;0;0;0;in;1681932645218021378;1732754590712688666;AbdulahDandhi;https://twitter.com/AbdulahDandhi/status/1732754590712688666
Thu Dec 07 13:30:52 +0000 2023;1732754549973356739;"@Adrianussatrio @ganjarpranowo Kalau pak Anies enak ada contohnya, kalau pak Ganjar kalau ada contohnya boleh di share. 🙏";0;0;0;0;in;1586661516165582849;1732579534455836773;exgemuk;https://twitter.com/exgemuk/status/1732754549973356739
Thu Dec 07 13:30:50 +0000 2023;1732754543174381971;"IKN bukan hanya proyek infrastruktur, tetapi representasi semangat perubahan yang diusung oleh Ganjar Pranowo. @Neskcha  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/xI2BWx08YS";0;0;0;0;in;1684110972057976833;1732754543174381971;AbhicandraAdi;https://twitter.com/AbhicandraAdi/status/1732754543174381971
Thu Dec 07 13:30:47 +0000 2023;1732754529068949918;"IKN, sebagai proyek besar yang diperjuangkan oleh Bung Karno dan Jokowi, akan diteruskan dengan penuh semangat oleh Mas Ganjar Pranowo. @ms_evri  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/v8FcrU51tg";0;0;0;0;in;1683452710396506112;1732754529068949918;alamsyahrfl_;https://twitter.com/alamsyahrfl_/status/1732754529068949918
Thu Dec 07 13:30:43 +0000 2023;1732754511704596967;"@ganjarpranowo semoga pembangunannya segera merata ya pak, insyaallah lancar";0;0;0;0;in;1699014626472820736;1732635553949212783;Dhiras85;https://twitter.com/Dhiras85/status/1732754511704596967
Thu Dec 07 13:30:41 +0000 2023;1732754505719304443;"@Aryprasetyo85 @ganjarpranowo Dukung pak Ganjar Tuntaskan IKN";0;0;0;0;in;1691766624490246144;1732649199400095816;bieltaaa;https://twitter.com/bieltaaa/status/1732754505719304443
Thu Dec 07 13:30:41 +0000 2023;1732754504679133630;"@altazaro @Wicaksono_J @IwanJonas @ganjarpranowo Yang diomongin penggunaan APBN nya.";0;0;0;0;in;1394959191723241479;1732635553949212783;gatau_puyeng;https://twitter.com/gatau_puyeng/status/1732754504679133630
Thu Dec 07 13:30:27 +0000 2023;1732754443803013534;"@ganjarpranowo Untuk menjaga persatuan dan kesatuan bangsa maka sikap moderat,  saling menghormati dan menghargai perbedaan dalam kehidupan sosial maupun kehidupan beragama menjadi penting.";0;0;0;0;in;1703694094378450944;1732589528039456768;DMargoyono;https://twitter.com/DMargoyono/status/1732754443803013534
Thu Dec 07 13:30:06 +0000 2023;1732754358100771183;"@Anak__Ogi @ganjarpranowo Yang pasti tetap dukung pak Ganjar pokoknya,all in Ganjar Tuntaskan IKN 🔥🤟";0;0;0;1;in;1599651489575710720;1732649662505721947;RIXXCY1;https://twitter.com/RIXXCY1/status/1732754358100771183
Thu Dec 07 13:30:04 +0000 2023;1732754349678616862;"@ganjarpranowo Bukan nya kemarin bilang  bangun mesjid yang banyak dulu om😎";0;0;0;0;in;107312678;1732635553949212783;bronto_kusumo;https://twitter.com/bronto_kusumo/status/1732754349678616862
Thu Dec 07 13:30:02 +0000 2023;1732754341122224320;"Ganjar Pranowo, pemimpin yang akan mengarahkan Indonesia ke arah pemerataan dan kemajuan. @Rasnika31  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/0JX1O89EMI";0;0;0;0;in;1681520070030417924;1732754341122224320;__alamsyahmunip;https://twitter.com/__alamsyahmunip/status/1732754341122224320
Thu Dec 07 13:30:01 +0000 2023;1732754337917731113;"@ch_chotimah2 @ganjarpranowo GANJAR MAHFUD (GAMA) 2 Putra Terbaik Bangsa ini &amp  Capres Cawapres Terbaik 2024, dari smua  ilmu sosial politik budaya dan penegakan hukum Indonesia mrka berdualah yg paling teruji dan terbukti berhasil. Tidak heran jk dlm kampanye keliling Indonesia sllu MELEDAK, GAMA MENANG 1RND";0;1;0;1;in;1357975991637823488;1732653506367197627;ichwanabohmd;https://twitter.com/ichwanabohmd/status/1732754337917731113
Thu Dec 07 13:30:00 +0000 2023;1732754333618557240;"Ganjar Komitmen Lanjutkan Proyek IKN Sesuai Amanat UU #GanjarMahfud #GanjarPranowo #GerakCepat #MahfudMD #IndonesiaUnggul #IndonesiaLebihBaik https://t.co/wc4l0aSM6E";0;0;1;3;in;39074801;1732754333618557240;TPNGanjarMahfud;https://twitter.com/TPNGanjarMahfud/status/1732754333618557240
Thu Dec 07 13:29:59 +0000 2023;1732754326433808562;"Ganjar Pranowo emang pejabat yang selalu punya ide brilian. KTP SAKTI ini buktinya! @udohkz  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/lHIg8SMXQE";0;0;0;0;in;1681876494942105601;1732754326433808562;adrian_aswari;https://twitter.com/adrian_aswari/status/1732754326433808562
Thu Dec 07 13:29:56 +0000 2023;1732754315729883617;"Dukungan terhadap Ganjar Pranowo adalah langkah strategis untuk mewujudkan visi Indonesia Sentris yang dicanangkan oleh Presiden Jokowi. @repaaper_  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/iaWG9MFeMs";0;0;0;0;in;1681912223797755904;1732754315729883617;fandykrist;https://twitter.com/fandykrist/status/1732754315729883617
Thu Dec 07 13:29:48 +0000 2023;1732754282452263101;"@Anak__Ogi @ganjarpranowo ganjar tuntaskan IKN";0;0;0;0;in;1717730465392836608;1732655925390172401;ira_wan21;https://twitter.com/ira_wan21/status/1732754282452263101
Thu Dec 07 13:29:47 +0000 2023;1732754279096524865;"Dengan tekad yang kuat Ganjar bertekad program satu keluarga miskin satu sarjana sangat dibutuhkan masyarakat di seluruh IndonesiaMari kita sama sama berjuang mewujudkan. #GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Bram0712 https://t.co/zfl8mcdQbQ";0;0;0;0;in;2590214328;1732754279096524865;xzooww;https://twitter.com/xzooww/status/1732754279096524865
Thu Dec 07 13:29:46 +0000 2023;1732754271580602782;"Ganjar Pranowo diharapkan mampu menjaga work-life balance di IKN, menciptakan masyarakat yang hidup tentram dan produktif. @queenfunkyz  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/UPGgAWkTif";0;0;0;0;in;1681886310536200194;1732754271580602782;kaneilaputri351;https://twitter.com/kaneilaputri351/status/1732754271580602782
Thu Dec 07 13:29:43 +0000 2023;1732754261099073793;"@ganjarpranowo Aamiin, semoga dg bersatu nya pemuka agama dan pemerintah pembangunan bs berjalan lancar, memberi manfaat banyak utk rakyat";0;0;0;0;in;1691726839008710656;1732589528039456768;dodicahyono66;https://twitter.com/dodicahyono66/status/1732754261099073793
Thu Dec 07 13:29:42 +0000 2023;1732754258326606179;"Keberhasilan Ganjar Pranowo dalam menggandeng berbagai pihak menunjukkan kemampuannya dalam membangun kolaborasi yang memajukan bangsa. @RespatiMahesa  LanjutGan GanjarSatsetIKN KTPSaktiGanjarMahfud https://t.co/M6KP816t18";0;0;0;0;in;1678425149912260608;1732754258326606179;PrakasaGan84789;https://twitter.com/PrakasaGan84789/status/1732754258326606179
Thu Dec 07 13:29:41 +0000 2023;1732754254367174855;"Juru Bicara Kesultanan Kutai Kartanegara ing Martadipura Pangeran Notonegoro mendoakan Ganjar Pranowo terpilih sebagai presiden RI dan memenangkan kontestasi Pemilu Presiden (Pilpres) 2024. di Gedung Kesultanan Kutai Kartanegara Ing Martadipura, Tenggarong, Kalimantan Timur https://t.co/PHAbQqTETZ";0;0;0;0;in;800015601527754753;1732754254367174855;wu223r20n3;https://twitter.com/wu223r20n3/status/1732754254367174855
Thu Dec 07 13:29:36 +0000 2023;1732754233081155972;"@ganjarpranowo Pak ganjar harapan semua rakyat Indonesia mewujudkan impian rakyat";0;0;0;0;in;1707405193883930624;1732635553949212783;jhon_malika;https://twitter.com/jhon_malika/status/1732754233081155972
